,CN A,CN B,CN C,CN D,CN E,CN F,CN G,CN H,AC 1,AC 2,AC 3,AC 4,AC 5,AC 6,AC 7,AC 8
12:45,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Time-off,Site-office
12:50,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Time-off,Site-office
12:55,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Time-off,Site-office
1:00,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Time-off,Site-office
1:05,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Time-off,Site-office
1:10,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Time-off,Site-office
1:15,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Class Coordinator,Site-office
1:20,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Class Coordinator,Site-office
1:25,Time-off,,Time-off,,,Lunch Support,,Time-off,Music Program Coordinator,Music Program Coordinator,Music Program Coordinator,Time-off,,Lunch Coordinator,Class Coordinator,Site-office
1:30,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
1:35,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
1:40,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
1:45,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
1:50,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
1:55,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
2:00,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
2:05,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
2:10,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
2:15,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
2:20,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
2:25,Class Support,Class Support,Time-off,Class Support,CN Coordination Meeting,CN Coordination Meeting,Time-off,Time-off,Time-off,Time-off,Time-off,Time-off,CN Coordination Meeting,CN Coordination Meeting,Class Coordinator,Site-office
2:30,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Time-off,Time-off,Time-off,Time-off,,,Class Coordinator,Site-office
2:35,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Time-off,Time-off,Time-off,Time-off,,,Class Coordinator,Site-office
2:40,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Time-off,Time-off,Time-off,Time-off,,,Class Coordinator,Site-office
2:45,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Class Coordinator,Site-office
2:50,Class Support,Class Support,Time-off,Time-off,Time-off,Time-off,,Class Support,Meeting,Meeting,Meeting,Meeting,Meeting,Meeting,Class Coordinator,Site-office
